what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1477127204761
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1477127215229
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1477127215419
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477127215848
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477127216234
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1477127216682
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1477127216689
error,log,,,"Errors occurred during the build.",1477127216855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477127216953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477127218953
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477127229182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477127230302
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1477127230469
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1477127230553
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1477127230827
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1477127230829
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1477127230830
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1477127230831
